,review,sentiment,mixed,negative,neutral,positive,Problematic
57,This is app gets worse and worse each year. Yesterday I was “temporarily blocked” for 24 hrs but was somehow kicked off of my page. The 24 hrs have passed and I have still not been allowed to even long into my page let alone being able to post anything. Everything I have from my son being born and so forth is on my Facebook and messenger and now I can’t access any of it. I hate Mark and Facebook as a whole.,NEGATIVE,2.99E-05,0.699611783,0.27113685,0.029221551,0
58,"Esta app quiere borrar explícito. El App, quiere actualización.",NEGATIVE,1.40E-05,0.6637187,0.285455257,0.050812017,0
59,Facebook has become a censored tool for left-wing politics. Algorithms and moderating filter out dissenting opinions from the left-wing ideology of the liberal Facebook team. Stop using this app and show Facebook they must change.,NEGATIVE,6.50E-05,0.958221912,0.022196176,0.019516952,0
60,...since last update. Also display for iPad looks small like for phone. what happened?  please fix.,NEGATIVE,1.72E-05,0.965367138,0.031558055,0.003057561,0
61,Can’t go back once I click on a post.,NEUTRAL,0.015659846,0.019259486,0.932076573,0.033004165,0
62,"FB is a left leaning app that makes Trump supporters’ lives miserable. They approve and allow porn and violence, while banning real truth. They replaced the Lifelog app which was a DARPA project, a spy program. I can’t wait till it goes away or gets taken over by good people.",NEGATIVE,6.96E-07,0.999019504,0.000891007,8.88E-05,0
63,"The latest updates to FB on my late generation iPad has the little left back arrow not working at all. Then today a person’s name I don’t know but she’s in a group I’m it, appeared next to the back button and has been there through reboots, etc. Whoa, this app needs some work!",NEGATIVE,9.97E-06,0.971451402,0.027249275,0.001289415,0
64,I’m curious as to why Facebook App in the App Store says the app is 248MB but when looking to free up space on iphone it shows Facebook App taking 76GB of space??? How does that happen and what is it that Facebook is installing on phone without permission???,NEGATIVE,0.000120018,0.793336451,0.202396691,0.004146817,0
65,O sea w m bloquearon 4 cuentas y no m dejan entrar a mi cuenta😿😿😿😿😿😿,POSITIVE,2.14E-05,0.010607457,0.196307138,0.793064058,0
66,"After several updates, Facebook app has been rendered useless with inability to function like a normal app. Can't access messenger from app, can't tap on back button, can't access my profile page, can't see squats going in Settings for unknown reason the box is extremely small end hard to navigate.",NEGATIVE,1.34E-06,0.997449934,0.002053907,0.00049472,0
67,Amazing.,NEGATIVE,3.30E-06,0.977642655,0.022066986,0.00028701,0
68,"Are “We The People” living in a Free America anymore?!?!? What happened to Freedom of Speech!?!?! Who are you to say what we can share with our Friends & Family or not?? Are you Doctors, Scientists, or geniuses?? I think not....how can you say that something is “False Information” without some sort of degree to back it up?? Do we have High Schoolers and College Students as Fact Checkers?? Maybe that’s your problem!",NEGATIVE,0.047658179,0.821004748,0.120641835,0.010695173,0
69,"Of course love it, but we need a dark mode plsss",NEGATIVE,5.36E-07,0.998791277,0.001104762,0.000103524,1
70,I hate it,NEUTRAL,1.79E-05,0.014931019,0.916775823,0.068275258,1
71,FACEBOOKS SUGGESTED FOR YOU ARTICLES HAD A MANDALORIAN SPOILER IN THE TITLE,NEGATIVE,0.003366251,0.981059849,0.00358726,0.011986735,0
72,I can’t search for friends.,NEUTRAL,7.46E-06,0.400514394,0.59009546,0.009382685,0
73,iPad Pro iOS 14 back button not working. I can’t tap back,NEGATIVE,3.32E-05,0.855791152,0.135648578,0.008527043,0
74,"Unable to create a status activity “watching” for movies or tv shows as the option is now missing!

Sort feed by most recent is now being hidden away in the see more setting and instead items like “dating” and “jobs” are being prioritised in the menu screen. 

News feed is terrible showing posts from days ago.

The new page for Facebook groups is awful showing a mixture of all groups instead of being better like it was before and actually showing me a page with all of the groups I am in and letting me choose which one I want.

Honestly it is prime time for other social media sites to take advantage of this poorly  designed and out of touch platform that prioritises adverts and marketing over the user experience.",NEGATIVE,2.31E-06,0.981248736,0.017095231,0.001653792,0
75,"On iPad 12, navigation on top bar don’t work. If go to comments or notifications can’t get back to post or menu.",NEGATIVE,4.54E-06,0.61943388,0.366367996,0.014193607,0
76,"Facebook keeps logging me out and when I’m trying to sign in, there’s an error message “No internet connection” even if I’m on a fast fibre broadband’s wifi connection or on 4G with maximum reception. Only Facebook app can’t find internet, any other apps can find it.",NEUTRAL,2.36E-06,0.000920557,0.998360455,0.000716601,0
77,Problem with the back button on the iPad Pro,NEGATIVE,5.31E-06,0.990226984,0.009461327,0.000306375,1
78,Always getting logged out of the app,NEUTRAL,0.015659846,0.019259486,0.932076573,0.033004165,0
79,The top row buttons stopped working. Checking if delete and  re-download fixes this.,NEUTRAL,4.18E-05,0.283602297,0.706276476,0.010079471,0
80,"For the last week or so, the app logs me out multiple times a day on my iPhone.  How can o make it leave me logged in?",NEGATIVE,5.31E-06,0.990226984,0.009461327,0.000306375,0
81,"Walk in the Facebook enjoy vast majority of people fake life 
But turns out that thought police start to attack and vaporising grops and account 
You are not allow to think 
Welcome to 1984.",NEUTRAL,0.015659846,0.019259486,0.932076573,0.033004165,0
82,I don’t like how the emojis and format is set up now,NEUTRAL,7.72E-06,0.018297024,0.621823013,0.359872282,1
83,the latest update keeps dropping the session,NEGATIVE,5.31E-06,0.990226984,0.009461327,0.000306375,0
84,"I can only imagine that tests are not thorough.  Every new O/S update brings a new set of problems. The latest is that the blue dots indicating new notifications persist after the item is read.  

CRASHING EVERY FEW MINUTES AFTER LATEST UPDATES!",NEUTRAL,0.015659846,0.019259486,0.932076573,0.033004165,0
85,So now the app keeps kicking me off of my account and when i try to log back in inserting my password it says NO INTERNET CONNECTION and i have my wifi on working fine .. that needs fixing,NEGATIVE,0.000456113,0.710779846,0.069337763,0.219426274,0
86,"هناك خطأ كبير في تطبيق الفيس بوك للايفون
هناك مشكلة تحدث عند تسجيل الدخول
وهي تواجه اغلب مستخدمين التطبيق .. المشكله .. حدث خطأ عند تسجيل الدخول الرجاء المحاوله مره اخرى في وقت لاحق .. 
الرجاء حل المشكله في اقرب وقت وشكرا",NEGATIVE,5.31E-06,0.990226984,0.009461327,0.000306375,0
87,The emojis makes my phone look Like an android can’t express how I feel using curse words when that’s my personality Facebook is becoming boring now !!!!! Oh and then we can’t put it in dark mode like the other apps I’m so over fb now it use to be fun now it’s lame 😒,NEUTRAL,0.015659846,0.019259486,0.932076573,0.033004165,1
88,Its been too long!!! No dark mode!!! Well over a year for Facebook to add this feature. Maybe thats y im more less n less on the app.,NEGATIVE,3.40E-05,0.962515116,0.037172835,0.000278029,0
89,plz if ur gonna pass out a new feature alow it to be tested by usal not just selected. with dark mode i can easily find it better to ultilize the app due to to my handycapp issue regarding my vision. tyia,NEGATIVE,0.005722499,0.910377383,0.079763956,0.004136092,0
90,"Since this latest update, the back arrows don’t work. So I find myself having to not only close the app but also shut off my tablet so it will reboot. Not funny. Since this latest update, if I could give a minus score I would",NEUTRAL,1.58E-05,0.002387601,0.97992456,0.017672114,1
91,The back arrow/previous screen arrow does not work,NEGATIVE,2.73E-06,0.912185967,0.085793644,0.002017692,1
92,"Not too happy the most recent shortcut has moved, maybe this could be put on the shortcut bar at the bottom instead?",POSITIVE,1.81E-05,0.086804844,0.137055278,0.776121676,1
93,"Since the last update, i have to view links on a browser because they load on the fb app, and the app randomly closes",NEUTRAL,2.66E-06,0.003553318,0.729172885,0.267271161,0
94,To go back you have to press to the left of the back button about 10 times before it works,NEGATIVE,4.25E-07,0.99710232,0.002299337,0.000597916,0
95,"This version keeps freezing on iPad, the back button in market place doesn’t work all the time. Hyper links not working either",NEUTRAL,0.015659846,0.019259486,0.932076573,0.033004165,0
96,"It’s nearly 2021, can’t believe Facebook don’t even have dark mode.....",NEGATIVE,1.40E-06,0.967481434,0.031093983,0.001423231,0
97,"If I could give zero stars then I would. They banned me and then didn’t tell me they muted me which is just a very disgusting way to act. Just by that alone proves how corrupted they are. There’s absolutely no reason for my post not to be post because I have checked all the possibilities and I have 5G and a nice phone so there’s no reason for my post to be blocked besides the fact that they banned me and threw away the key and didn’t even tell me that they muted me. I also had an FIVE STAR online marketplace and convenient store but Facebook fully banned me from making an honest living. I made sure to give the best customer support and I even gave refunds. I was 100% willing to comply and change my posts but they banned me still! They do not deserve the business of Americans! They don’t have the right to take the Authority of Government in their own hands! I will not support a Social network that silences free speech and kicks out innocent users! There’s only one reason they should ever have the right to do this and it’s if American laws are broken! I wronged no one, I scammed no one and I stole from no one! I also never hacked anyone! But I’m banned! I’d give zero stars if I could.  #ReplaceFacebook #destroyfacebook",NEGATIVE,2.76E-06,0.961767375,0.035955317,0.002274534,0
98,Why can’t I view or post story’s?,NEGATIVE,1.81E-06,0.910215795,0.032732349,0.057050094,0
99,After the last update for iPad Facebook is freezing and I am unable to close easily or tap back arrows.....what gives?????,NEGATIVE,2.56E-07,0.99964273,0.000289064,6.80E-05,0
