,review,label
76,"Facebook keeps logging me out and when I’m trying to sign in, there’s an error message “No internet connection” even if I’m on a fast fibre broadband’s wifi connection or on 4G with maximum reception. Only Facebook app can’t find internet, any other apps can find it.",0
77,Problem with the back button on the iPad Pro,1
78,Always getting logged out of the app,0
79,The top row buttons stopped working. Checking if delete and  re-download fixes this.,0
80,"For the last week or so, the app logs me out multiple times a day on my iPhone.  How can o make it leave me logged in?",0
81,"Walk in the Facebook enjoy vast majority of people fake life 
But turns out that thought police start to attack and vaporising grops and account 
You are not allow to think 
Welcome to 1984.",0
82,I don’t like how the emojis and format is set up now,1
83,the latest update keeps dropping the session,0
84,"I can only imagine that tests are not thorough.  Every new O/S update brings a new set of problems. The latest is that the blue dots indicating new notifications persist after the item is read.  

CRASHING EVERY FEW MINUTES AFTER LATEST UPDATES!",0
85,So now the app keeps kicking me off of my account and when i try to log back in inserting my password it says NO INTERNET CONNECTION and i have my wifi on working fine .. that needs fixing,0
86,"هناك خطأ كبير في تطبيق الفيس بوك للايفون
هناك مشكلة تحدث عند تسجيل الدخول
وهي تواجه اغلب مستخدمين التطبيق .. المشكله .. حدث خطأ عند تسجيل الدخول الرجاء المحاوله مره اخرى في وقت لاحق .. 
الرجاء حل المشكله في اقرب وقت وشكرا",0
87,The emojis makes my phone look Like an android can’t express how I feel using curse words when that’s my personality Facebook is becoming boring now !!!!! Oh and then we can’t put it in dark mode like the other apps I’m so over fb now it use to be fun now it’s lame 😒,1
88,Its been too long!!! No dark mode!!! Well over a year for Facebook to add this feature. Maybe thats y im more less n less on the app.,0
89,plz if ur gonna pass out a new feature alow it to be tested by usal not just selected. with dark mode i can easily find it better to ultilize the app due to to my handycapp issue regarding my vision. tyia,0
90,"Since this latest update, the back arrows don’t work. So I find myself having to not only close the app but also shut off my tablet so it will reboot. Not funny. Since this latest update, if I could give a minus score I would",1
91,The back arrow/previous screen arrow does not work,1
92,"Not too happy the most recent shortcut has moved, maybe this could be put on the shortcut bar at the bottom instead?",1
93,"Since the last update, i have to view links on a browser because they load on the fb app, and the app randomly closes",0
94,To go back you have to press to the left of the back button about 10 times before it works,0
95,"This version keeps freezing on iPad, the back button in market place doesn’t work all the time. Hyper links not working either",0
96,"It’s nearly 2021, can’t believe Facebook don’t even have dark mode.....",0
97,"If I could give zero stars then I would. They banned me and then didn’t tell me they muted me which is just a very disgusting way to act. Just by that alone proves how corrupted they are. There’s absolutely no reason for my post not to be post because I have checked all the possibilities and I have 5G and a nice phone so there’s no reason for my post to be blocked besides the fact that they banned me and threw away the key and didn’t even tell me that they muted me. I also had an FIVE STAR online marketplace and convenient store but Facebook fully banned me from making an honest living. I made sure to give the best customer support and I even gave refunds. I was 100% willing to comply and change my posts but they banned me still! They do not deserve the business of Americans! They don’t have the right to take the Authority of Government in their own hands! I will not support a Social network that silences free speech and kicks out innocent users! There’s only one reason they should ever have the right to do this and it’s if American laws are broken! I wronged no one, I scammed no one and I stole from no one! I also never hacked anyone! But I’m banned! I’d give zero stars if I could.  #ReplaceFacebook #destroyfacebook",0
98,Why can’t I view or post story’s?,0
99,After the last update for iPad Facebook is freezing and I am unable to close easily or tap back arrows.....what gives?????,0
